platform,best_page_name,rank,brand_name,product_name,category_large,category_medium,category_small,category_path,price,discount_rate,like_count,review_count,review_score,item_url,thumbnail_url,collected_at
29CM,전체,58,엔조블루스,레트로 스냅 플리스 아노락 (Lavender),여성의류,아우터,아노락,여성의류 > 아우터 > 아노락,90440,24,9739,156,5.0,https://product.29cm.co.kr/catalog/3397500,https://img.29cm.co.kr/item/202509/11f09da6c6ddc5bcbe46b59111c42e5a.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,59,유라고,[7차 리오더] Washable V-neck knit_7colors,여성의류,니트웨어,브이넥,여성의류 > 니트웨어 > 브이넥,52200,10,28851,650,4.5,https://product.29cm.co.kr/catalog/2801298,https://img.29cm.co.kr/item/202409/11ef700128e243b0a9802f9ce652f5c9.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,60,오셀픽,[8차 리오더] (uni) 스탠다드 뉴욕 긴팔 파자마 핑크 2Size,남성의류,홈웨어,세트,남성의류 > 홈웨어 > 세트,20050,37,3696,269,5.0,https://product.29cm.co.kr/catalog/3466925,https://img.29cm.co.kr/item/202508/11f083d5cc240237ab5d45372bf7f783.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,61,티세르,[uni] 로얄 스트라이프 피치기모 긴팔 커플 잠옷 상하세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,28300,44,2688,105,5.0,https://product.29cm.co.kr/catalog/3434947,https://img.29cm.co.kr/item/202508/11f07c0fefd78de8964aebe3e93afa59.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,62,티세르,[uni] 딥포레스트 피치기모 커플 긴팔 잠옷 상하세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,28300,44,2011,140,5.0,https://product.29cm.co.kr/catalog/3434967,https://img.29cm.co.kr/item/202508/11f07c103eebffb6964ab5109bd7de9b.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,63,오셀픽,[7차리오더] (uni) 스트라이프 극세사 파자마 세트 4Color,남성의류,홈웨어,세트,남성의류 > 홈웨어 > 세트,24000,65,3932,323,5.0,https://product.29cm.co.kr/catalog/3395115,https://img.29cm.co.kr/item/202507/11f0693672a064ee889387c3256bbf70.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,64,도씨,[해원 Pick] 플러피 보니 긴팔 커플 수면 잠옷 세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,20590,62,7759,238,5.0,https://product.29cm.co.kr/catalog/3563145,https://img.29cm.co.kr/item/202512/11f0ce7c42b6ad33ab9dedba30298b72.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,65,아티드,바라클 덕다운 하프 패딩_3COLORS,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,236160,36,1611,14,5.0,https://product.29cm.co.kr/catalog/3549439,https://img.29cm.co.kr/item/202512/11f0daeac4d4fbb0a3c05d3c51cdd35b.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,66,아르카익,[바로배송][29CM 단독][3rd] reversible mustang coat_beige,여성의류,아우터,무스탕,여성의류 > 아우터 > 무스탕,128490,50,1596,29,4.0,https://product.29cm.co.kr/catalog/3613010,https://img.29cm.co.kr/item/202512/11f0d4ad3a43d5a8a3c0419d3aeb95a8.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,67,녹섭,(8차 리오더) Alpaca blend half coat_black,여성의류,아우터,하프코트,여성의류 > 아우터 > 하프코트,257640,24,6851,48,4.5,https://product.29cm.co.kr/catalog/2978906,https://img.29cm.co.kr/item/202412/11efb45aca40df08ad1b2714d8bf735f.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,68,조이그라이슨,Faux Fur Half Jacket KF3WH4930_2COLOR,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,278500,36,10920,92,4.5,https://product.29cm.co.kr/catalog/2315130,https://img.29cm.co.kr/item/202512/11f0ce8dbc2bc153a563c1c085fe23c8.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,69,아티드,프리미엄 캐시미어 브이넥 니트_4COLORS,여성의류,니트웨어,캐시미어,여성의류 > 니트웨어 > 캐시미어,71520,52,7782,123,4.5,https://product.29cm.co.kr/catalog/2789573,https://img.29cm.co.kr/item/202510/11f0a89f4c9c4013b27dff5168040ff6.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,70,비터셀즈,[쁨이 pick]Poddy Fleece Half Zip Up-Charcoal,여성의류,아우터,플리스,여성의류 > 아우터 > 플리스,95920,12,39892,320,4.5,https://product.29cm.co.kr/catalog/3391949,https://img.29cm.co.kr/item/202508/11f07e2aa8433bb88403e9eea0dcf58b.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,71,망고매니플리즈,BALLEN FUR JACKET (2colors),여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,303050,5,4372,34,4.5,https://product.29cm.co.kr/catalog/2327337,https://img.29cm.co.kr/item/202509/11f09a98690c8552b5636ff4b9c2e450.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,72,던스트,ESSENTIAL CASHMERE SINGLE COAT BLACK_UDCO5D222BK,여성의류,아우터,롱코트,여성의류 > 아우터 > 롱코트,214390,42,3430,16,5.0,https://product.29cm.co.kr/catalog/2864194,https://img.29cm.co.kr/next-product/2025/09/23/00f3035fcb4a4318a0107b1932130bd2_20250923152026.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,73,포트오브콜,[13차]mond  raccoon v-neck knit_plum,여성의류,니트웨어,브이넥,여성의류 > 니트웨어 > 브이넥,110400,20,11071,65,4.5,https://product.29cm.co.kr/catalog/3446002,https://img.29cm.co.kr/item/202510/11f0ae39f286babbb27d8387d3c9b421.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,74,르,wool classic double breasted coat (charcoal),여성의류,아우터,롱코트,여성의류 > 아우터 > 롱코트,194560,67,8465,97,4.5,https://product.29cm.co.kr/catalog/2960662,https://img.29cm.co.kr/item/202411/11efa7d044b1bdbf9d186702280dda42.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,75,그노노이,에어리 숏 덕 다운 패딩 (Beige),여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,249200,33,531,7,5.0,https://product.29cm.co.kr/catalog/3665483,https://img.29cm.co.kr/item/202512/11f0cf30f67e566fab9d01e4c56d8318.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,76,오베르,[15차 리오더 1/12 예약배송]Foldable Ribbed Pants - Black,여성의류,바지,기타 팬츠,여성의류 > 바지 > 기타 팬츠,79000,0,5959,322,5.0,https://product.29cm.co.kr/catalog/3115020,https://img.29cm.co.kr/item/202502/11eff5bf124736048b630772b854b62b.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,77,조스라운지,[누가영 착용] [웜모달] (w) Candy Stripe Pajama Set,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,77060,31,1304,30,5.0,https://product.29cm.co.kr/catalog/3488374,https://img.29cm.co.kr/item/202512/11f0cf257fc9b359ab9d8dc9dfdaca56.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,78,오프아워,(w) 버터 크림 긴팔 파자마 세트,여성의류,홈웨어,세트,여성의류 > 홈웨어 > 세트,24000,52,30782,2390,5.0,https://product.29cm.co.kr/catalog/2777331,https://img.29cm.co.kr/item/202509/11f09ac9452015e8920cfbf7a737e737.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,79,몽돌,[오제 PICK] 골지 브이넥 가디건 MDCD034_5 Colors,여성의류,니트웨어,카디건,여성의류 > 니트웨어 > 카디건,28980,37,20239,718,5.0,https://product.29cm.co.kr/catalog/2763457,https://img.29cm.co.kr/item/202510/11f0b0b443890362a918e95fa4c3b03c.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,80,튜드먼트,[4COLORS] CLASSIC WOOL HALF COAT,여성의류,아우터,하프코트,여성의류 > 아우터 > 하프코트,190620,36,46681,522,4.5,https://product.29cm.co.kr/catalog/2835282,https://img.29cm.co.kr/item/202409/11ef7ecf20a32fafa23c315b28613755.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,81,노스페이스,여성 다이아몬드 다운 자켓 (RDS) NJ1DR92J_BLK,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,209760,43,593,6,5.0,https://product.29cm.co.kr/catalog/3623114,https://img.29cm.co.kr/item/202511/11f0b94cc47218268388c575b64d016a.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,82,매든,[4COLORS] 지그재그 퍼니 풀오버 후디,여성의류,상의,후디,여성의류 > 상의 > 후디,69900,21,1545,43,5.0,https://product.29cm.co.kr/catalog/3450579,https://img.29cm.co.kr/item/202508/11f083e756501c80b69c190a43d418a7.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,83,썸웨어버터,[5th] Fleece Over-Fit Padding Jumper - Black,여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,250200,10,4560,34,4.5,https://product.29cm.co.kr/catalog/3628001,https://img.29cm.co.kr/item/202511/11f0bea67c5fb173a563fb328685f14f.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,84,더바넷,Nuvelle Fur Jacket,여성의류,아우터,퍼 재킷,여성의류 > 아우터 > 퍼 재킷,207100,5,2790,33,5.0,https://product.29cm.co.kr/catalog/3654324,https://img.29cm.co.kr/item/202512/11f0df022513abeca540e1e6d86229e6.jpg,2025-12-24T02:51:00.386137+09:00
29CM,전체,85,더 라이,Cropped Goose Down(Brown),여성의류,아우터,숏패딩,여성의류 > 아우터 > 숏패딩,288300,28,2558,61,5.0,https://product.29cm.co.kr/catalog/2843389,https://img.29cm.co.kr/item/202509/11f08a1a3f37809ab69cb9447ad1cb25.jpg,2025-12-24T02:51:00.386137+09:00
